review_text,review_rating,cooking_surface,heat_control,durability,portability,versatility
"Arrived damaged, missing pieces, assembled wrong: Grill arrived damaged, missing pieces, assembled wrong, and needed many screws tightened.",1,NA,NA,-1,NA,NA
Blackstone: The grill is great and the managers and customer service at this store  (Lowe’s Home Inprovement in Shallotte NC) are the very best. Noah and Mike are the best of the best.,5,NA,NA,NA,NA,NA
"Delicious Food with Easy Cleanup!: I absolutely love cooking on my new Blackstone griddle.  I've been able to make some delicious food and cleanup is simplified because it effectively eliminates the need for pots and pans.  Just give it a good spray down with water, dry and wipe clean, and add a light coating of oil after you're done.  I'm extremely happy with my purchase!",5,1,1,1,0,1
Fantastic Grill: Absolutely love cooking on this grill surface! My only complaint is I wish it started easier. The burner furthest from the starter has a bit of trouble. Otherwise I find this grill to be very high quality. It cooks even and heats up fast. Very easy to clean.,4,1,-1,1,NA,NA
"All good so far.: Purchased the grill un-assembled and putting it together was relatively easy. Took a couple of hours. Have only used a few times so far but so far all good. Used it for breakfast sandwiches, chicken and steak fajitas, and tacos. Have not tried burgers or steaks yet so will see how that goods. No complaints at this point.",5,NA,NA,NA,NA,NA
"You definitely want to make sure you 'season' it!: Now, I have only had it since the beginning of May, but I love it! I've cooked with it half a dozen times, and each time, the food just sizzles so good and is easy to make! For someone who isn't the main contributor for food in this family, my wife has loved me getting out and making steaks, fajitas, and hibachi styled goodness! Thankful for a great product!",5,1,1,1,NA,1
"Propane regulator: Cooks great. Only issue is the regulator has a very sensitive flow limiter. If you turn the propane tank on more than just a smidge when lighting it shuts the regulator right down to a trickle. The trick is to barely open the valve, light 1 burner, open the propane valve half way, light the second burner, then you can turn on the propane tank all the way. That’s why I gave it only 4 stars.",4,NA,-1,NA,NA,NA
"Make sure you buy a cover and keep clean: I love cooking, so this made it perfect to make Birria tacos outside so I wouldn’t make the mess inside. The only thing I see is the seasoning is a little bit of a pain in the butt but other than that once he got it seasoned, it should be easy to take care of, and one of the best cooking tools he can have.",5,1,0,1,0,1
"Poor customer service: Received this for Christmas from kids and wife. Upon assembly could tell the lid was bent or deformed from the get go. I’m thinking a stamping error. It wouldn’t lay flat on a flat surface. Installed anyway and it didn’t open and close properly. Called and was told that’s how they are. You have to make sure you use the center of the handle when you use it so it doesn’t catch or oil can. Still doesn’t work. Took pics, took video, no response. Ignored. I know it isn’t supposed to be this way. The ...",1,-1,-1,-1,-1,-1
"Very disappointed: We brought this grill home and my husband just put it together. 
The lid is absolutely horrible -- a complete failure on the part of Blackstone. It is flimsy and got dented during installation. It doesn't lift easily unless you grab the handle right in the center, it's not easy to get off and the way it hangs on the back, it sticks out a whole foot. In addition, it doesn't lock in place and I'm sure any gust of wind will bring it down on you when you're cooking, which is hazardous. Because of th...",1,-1,0,-1,-1,0
Missing parts: I received my Blackstone grill assembled as requested. As drivers were leaving lifted the lid and found wad missing a part to hold screw in place so hood doesn’t open and falls when Zi do open it. Driver told me call the store he took pictures. Have been calling the store for two hours straight no response !!! Would recommend gril but not Lowes,2,NA,NA,-1,NA,NA
"Wonderful griddle - great updates: This griddle is the 2023 model. It has a lot of small fixes from previous models that make it noticeable after you research all the options online. It took about 75-90 minutes to assemble. Fantastic griddle with all sorts of bells and whistles that fit into a fairly compact design with side shelves that fold down (propane side is at an angle, doesn't bother me at all though)",5,NA,NA,NA,NA,NA
"Get one, you will love it!!!!!!: This unit will cook just about anything I want. It is built like a Sherman tank. If you have a pick up truck or trailer, I would elect to have it assembled by the store. It weighs 187 pounds and is quite a pain to put in and take out of your vehicle in its box. Been there, done that and won't make that mistake again. It also takes some body maneuvering to assemble the unit. That said, I love the Black Stone grill. It is easy to move around and has plenty of usable amenities suh as a trash bag ho...",5,1,1,1,-1,1
"Want some rusted meat?: I purchased this grill back in late April due to the positive reviews, wanting to try something different than a standard grill. I do like it for the most part, but after having it covered for a few weeks due to the endless rain we had in Texas, I went to grill the other day, and a large spot was rusted. I went to scrape it and large amounts of rust started coming off. I was astonished, as I hadn't done anything differently. The grill had been properly seasoned, and had been used at least three ...",3,0,0,-1,NA,NA
Not Assembled properly and dirty: There are bolts missing and the product is dirty on the grill. There is oil stains and also some other stains. The delivery guys were great but whoever put the product together didn’t do good and the product itself is nasty. Do not order.,1,-1,0,-1,NA,NA
"Lowes Service: BBq was delivered to my house and was supposed to include Installation. Didn't happen. Parts missing.
Screws for the lid never came with the BBQ.
Tried calling Lowes Customer Service - Good Luck ! Nobody calls back. No resolution. Nothing and people are RUDE !
We will see what happens next.",2,-1,0,-1,NA,NA
It’s awesome: It’s easy to do several dishes at the same time,5,1,1,NA,NA,1
Cheap hardware and parts .: Got it put together and the gas line regulator is not functioning. Tried to replace it but can't get the broken one off.,1,NA,NA,-1,NA,NA
: Nice grill but would not recommend that you purchase assembled and delivered. Lid and side were bent and it’s missing a few pieces.,4,0,0,-1,NA,NA
"4th burner finicky: The grill is great, but the 4th burner won't light unless its the first one. something is wrong with the pressure. can't return to Lowe's, so guess just have to deal.",3,NA,NA,NA,NA,NA
36” Blackstone griddle: Very well made. Heats evenly and easy to cook on! Only gripe: The beautiful tray/rack that mounts to the front of the griddle will NOT stay on. I’ll have to permanently attach it with sheet metal (self tapping) screws. Not a deal breaker though!!!,5,1,1,1,-1,1
If you have parties in the back yard...MUST HAVE: MAKE SURE TO PROPERLY SEASON GRIDDLE BEFORE COOKING ON IT. Sorry for screaming but it is needed if you want the experience that Blackstone is offering lol Youtube is full of tutorials on how to season (it is very simple). It has been an excellent cooking experience thus far and can't wait to make more smash burgers!,5,1,0,1,NA,NA
"Pretty good overall, not without faults.: Most of the grill is very good quality and then there are a few questionable parts and head scratchers.  Lots of assembly and some of the screws it is physically impossible to get them tightened because you can't get a proper driver in place.  

My biggest complaint is HOLY PACKAGING.  Awful... boxes within boxes, plastic, styrofoam, cardboard beams... just way too much.  I say this because its taken me 5 garbage loads in my HOA (stuffing as much as I can in the bin) and just finally got it all ...",4,NA,NA,0,NA,NA
you need this: 4 zones allow 4 different temps and items which will help the whole meal to be ready at the same time.,5,1,1,1,0,1
"Plenty of surface area: Plenty of surface area for multiple heat zones. The lid itself is worth the extra money vs the non lid model. There's plenty of storage in front for spices, etc...
Get it. You will enjoy it.",5,1,0,1,NA,NA
"Good Product Poor Service: Product seems to be exactly what I wanted, however Lowes did not come through.  Came to pick up the purchase, and they didnt have one together, wait and come back tomorrow and we will, NOPE, still in the box, had to put it together my self., Thanks Lowes.",5,1,0,-1,-1,0
"Constant poor products from Lowes: The product is old, rusted, scaped and dented. Covered in pollen. This was the third attempted delivery and I'm supposed to have a delivery today to switch the bad product out. Nobody has contacted me. I will be returning my order all together and getting a refund. I will not shop with Lowes anymore",1,-1,0,-1,NA,NA
"Very disappointed in workmanship: The grill was not assembled correctly, was missing pieces, and was damaged upon arrival. I had to send it back and now wait another week to have another one sent. Very disappointed in the whole process. If whoever assembled the grill had taken the time to look it over they would have easily seen the mistakes in the assembly and the damaged part. They also would have known it was missing pieces. They just didn’t care. Very disappointing.",1,NA,NA,-1,NA,NA
"It's fine: It wouldn't be hard to design a griddle that is better than all the rest including this one.  The features/gimmicks on this one are poorly thought out.  For one, the right side shelf, while foldable, cannot fold down because of the goofy trash bag holder.  The paper towel arm is poorly designed and comes unscrewed with repeated use.  In my opinion the shelf should be at the bottom of the unit and the propane should sit on the shelf.  And finally, with the lid open you can't remove the grease tra...",4,0,-1,-1,-1,-1
"You'll love it!: I love everything about this griddle except for the hinge pins for the lid, that's the only reason I didn't give it 5 stars. They are very flimsy and are already bent (came that way in the package) and I don't think it will be long until they break off, then I'll find out how good the warranty is. Other than that this thing is fantastic. I use it 3 or 4 times a week. I've made steaks, fajitas, tacos, breakfast, quesodillas....everything turns out great. Love it a lot more than my not so old Webe...",4,1,1,-1,NA,1
"Follow this simple tip and you’ll be fine: I literally dragged this thing out the back of my vehicle and assembled it in my living room by myself. That being said, it’s an easier job with 2 people or if you’re not strong at lifting things because the real weight is in the steel cooking space and it’s rather heavy and awkward trying to lift by yourself. It can be done if you’re strong enough but I’d recommend a second person if one is available. The only true tip to assembling this is DO NOT TIGHTEN YOUR SCREWS TO THE GRILLING STATION UNT...",5,1,0,1,-1,0
Go with the gut!: Great product! Awesome brand!,5,NA,NA,NA,NA,NA
It’s very easy to clean: Love the way this grill cooks .,5,1,NA,NA,NA,NA
Poor assembly: Unit came assembled even though I specified not assembled. Is missing bolt and hardware for one side of the hood.,2,NA,NA,NA,NA,NA
Blackstone clicker fail: The click starter doesn’t work. We had professionally assembled and delivered by Lowe’s & hasn’t  worked at all since delivered.,2,NA,NA,-1,NA,NA
"This is GREAT!: This griddle is fabulous. It heats up quickly and cooks food so well. With four burners, you can do various items and have different temperatures. We got it almost two weeks ago and have eaten meals cooked with it almost daily since then.",5,1,1,1,NA,1
Blackstone 38” Omnivore griddle: Have a 22” griddle we use for camping and love it. But needed a bigger one for home and this one is perfect. Used it for breakfast and dinner during the weekend before July 4th with a herd of family and friends. Worked great.,5,1,1,1,0,1
"Love this!: Love this! You can cook almost anything on it! Have only had for a month, but holding up so far. Beware of Lowe's putting together, they forgot to put a part on. But the free assembly and free delivery was so worth it!",5,1,NA,1,NA,1
"Grill: I love using the flattop grill. I have no complaints about that. 
However, the store put together my grill for me and I noticed a couple rubber “bumpers” are missing where the lid sits on the front and on the back. 
Outside of that I am very happy",4,1,NA,0,NA,NA
Bad Company: Black stone lied and said they would send my fiance another grill with a side burner because the one advertised here injured him slicing his finger in half. What they sent was not what they promised to him. Black Stone is a terrible company that doesn't care about its consumers.,1,-1,0,-1,-1,-1
"Great griddle: So far really like this griddle. Definitely a learning curve with cooking as I’ve never had one before. Just watch YouTube videos. Was easy to season and got great color. Griddle was very easy to put together and is very well made. I purchased this one over other 36” as this one was more beefy in frame. Time will tell how well it holds up, do spend the money on a cover",5,1,1,1,-1,0
"Lowe’s @ Commerce Palms, Tampa: This review is more about the store associate. After looking at grills we decided to buy the $499 Blackstone. He said no assembly & no delivery. So we took the grill home. Huge rip in our vehicle carpet from him pushing the grill when i was caught on something. While putting the grill together i noticed every piece was scratched or paint scraped off. Pulled the griddle out and it had two big gouges. The lid was ver flimsy. Should have known it was an old model when we saw the faded box. Went to ...",1,-1,0,-1,-1,-1
Shout to my Local Lowes: First let me say the griddle is awesome!  Does everything that I need it to do.  I do want to warn people that carry one home in a pickup.  The cover lid is not bolted on the cooktop.  It is made removable.  I did not know that so when I headed home with my new grill the lid flew off.  Now let me say a very big thank you to my Local Lowes Store I spoke to the customer service and told them what happen and the exchanged the flatten runover cover with a new one.  That made a very happy customer an...,5,1,1,1,-1,1
"Love it! BUT: We have been eyeing up and hearing all the talk about Black Stone. Finally went out and purchased one. I am a stickler for purchasing item new in box. My local Lowe’s just so happened to have 14 of them, 6 of which had already been built. I received one from the back brand new in a box needed to be assembled. Brought it home, assembled it to find the top had been bent of slightly out of wack, one of the welded on hanger was completely busted off. There for the top is completely useless. Called L...",3,0,0,-1,NA,NA
"A must have griddle.: This is an excellent grill to own, can cook every day and every meal on it. Assembly was easy, took around 30 to 40 mins and make sure you don't tighten the screws until all the parts are assembled.
Seasoned with veg. oil 4 times and was ready for grilling. If you are deciding between a 30"" or a 36"", then it's a no Brainerd, go with 36"". That extra real estate on the grill helps to cook more food and faster. Over all the build quality is good, hard cover is there to cover the griddle and the fro...",5,1,0,1,NA,0
Great Griddle: Love the size,5,1,0,1,NA,NA
Great gift: Christmas gift for my son he loves it. Fat drains to back of griddle which is a plus!,5,1,0,1,NA,NA
Terrible: Nothing. I never received the product. It was to damaged to accept. I am not sure I  even got my money back.,1,NA,NA,-1,NA,NA
Lowe’s customer service was the best!!!!: The grill is to be a Christmas gift. It has great reviews and everyone I know that owns one simply loves it!,5,NA,NA,NA,NA,NA
Great!: This grill was assembled and just like the picture! I’m very happy with this purchase! The delivery guys were great and very helpful!,5,1,1,1,NA,NA
Wrong Instructions: This griddle came with the wrong instruction booklet and I can't seem to find this particular model (2162) on the Blackstone website...,1,NA,NA,NA,NA,NA
"Tray Falls Off: Griddle performs as it should.  However, the front try does not fit and keeps falling out.  I have been to back to Lowe's and on the phone with Blackstone support.  Still no solution nearly two weeks after purchase.",3,NA,NA,NA,NA,NA
"Best Grill I've ever owned: build quality is perfect.

easy to assemble once you figure it out.  the parts themselves are labeled  but the parts are not labeled in the set up instructions.  it tells you what to do but does not identify the parts in the instructions.",4,NA,NA,1,NA,NA
"Buy it anywhere but Lowe’s.: the product might be great if we ever get to use it. Ordering from Lowe’s is the mistake. Was supposed to be delivered assembled. It wasn’t. They included a conversion kit. It came with half the pieces. Weeks after purchase, we still can’t use the grill.",1,NA,NA,-1,NA,NA
"Exceptional Griddle!: This is an exceptional griddle in every respect. With the proper cooking equipment, you can emulate anything that a traditional grill can cook, without all the cleanup mess. This griddle can operate at a very high heat level, and is very versatile with any type of food preparation.",5,1,1,1,NA,1
"Must have for your outdoor cooking!: Absolutely love it.  Used one at hunt camp this year and had to have one.  Cook nearly every meal on it now with so much space to cook pancakes, bacon and eggs all at the same time.  
I had the opportunity to see the set up crew at Lowes and would highly suggest you take it home and set it up yourself.  I read several reviews that almost caused me to not purchase but I went forward and opted out of f the free set up to be sure it was properly assembled.  Follow the directions and you will have n...",5,1,1,1,1,1
Had many problems with Lowe’s.: Good product but Lowe’s needs to step customer service up. First grill was smashed in so had to drive 4 hrs to take it back. 2nd one was supposed to be put together but when arrived it was still boxed. They had to re order one to replace the first one. Great grill just many issues with Lowe’s. My card was charged 3 times for my order so I had to call my bank to  reverse the charges. This is my second grill from blackstone.  We have one for our camper and had to buy a bigger one for at home to us...,5,NA,NA,-1,NA,NA
"Cooks great. Built like junk.: Grill cooks it's butt off, however it is rife with poor build quality and engineering issues. The way the frame is built on this model to accomodate the front shelf makes the frame weak and wobbly. The whole grill rocks with just light touch. It's terrible while cleaning. Due to this the shelf pops off quite easily and mine has hit the ground at least 5 times. The side shelves get hot enough to melt plastic while cooking and also hot enough to make the magnetic strip on the left shelf peel right...",3,1,-1,-1,-1,0
"Game changer!: This was an early father's day gift, and it's been terrific! We had been using regular charcoal grills, but this is a game changer!!! Flat griddle, lots of space, cooks everything evenly, easy cleaning and maintenance, locking casters, adjustable shelf and paper towel holder....it's been a breeze and a pleasant to cook with this thing! It feels well-made and not cheap or rickety like some other grills. Also, getting the Blackstone grill cover to go with it is totally worth it, waterproof and cov...",4,1,1,1,0,1
"Product fine - customer service terrible: The product is fine, customer service was terrible...from the delivery to being charged twice.",1,NA,NA,NA,NA,NA
Not assembled as requested!!!: Checked wanted assembled brought it out I assembled!!! It’s very heavy make sure you have people to help lift out of vehicle!,3,NA,NA,-1,-1,NA
"Blackstone Griddle: have only had a few days but have already cooked steaks, burgers, and pancakes. All turned out fantastic. Easy to use, easy to clean and initial assembly and seasoning of the griddle was super easy.",5,1,1,1,NA,1
"H: I got the Blackstone, and the Blackstone natural gas conversion kit. The kit said that it is compatible with the 36” griddle. I broke an orifice trying to use the conversion kit. I was told by the Blackstone people that they are not comparable.",1,NA,NA,NA,NA,NA
"Blackstone Grill: The delivery and overall purchase was good. I had the grill assembled and it was a poor job. Some of the screws were not tightened and some were not put in. I found some of them in the accessories tray, which was laying on the bottom of the grill. Some of the screws were missing, so I am short a few screws. I would not recommend having it assembled. I am giving a low rating because of the poor assembly.",3,NA,NA,-1,NA,NA
"Get one assembled.: If you buy one of these get one that has been assembled. The bolt holes for the legs do not line up, you  must start a bolt theen go to the other one. Instructions shows using a philips screw driver, you better use a power driver. Legs are numbered but not shown in the instruction where they go. Instruction are very poor. I consider my self a DIY, took three hours.",3,NA,NA,-1,NA,NA
"Flimsy product: Product is super flimsy, Opted for the free delivery and free installation. Delivery team arrived wheeled it into the backyard took a couple pictures and left upon inspecting the unit it was extremely flimsy product was dented in multiple areas and stuff was not installed completely. After trying to return the product lowes.com does not give you the option to deliver it back to the store so I had to go into my Lowe’s location and request a delivery pick up which I would think if you have a deliv...",1,-1,0,-1,0,0
"Awesome, but defected: After my first use there is chipping on the part with the knobs.  I've reached out to Blackstone and they are sending me a new base.  I need to install it.  I had Lowe's put together because I am not the best at that, and now I'm stuck.  The grill, however, is fantastic.  I love it.  Cooked Cinco de Mayo, brunch, steaks.  It's a game changer.  Just it was a lot of money and I think that my warranty (3 year) should have someone come and fix for me.",3,1,0,-1,NA,1
"If considering a griddle, THIS one is fantastic!: This Blackstone Griddle was an awesome purchase. We considered other brands, but everyone said these are the best, and…it helped that our local Lowes Carrie’s them in stock. So no need to order, pay for or wait on shipping! Just went to our local store and picked one up. Also really nice that since they carry these, they have some of the accessories for it as well. We’ve really enjoyed it! Would highly recommend this item to anyone looking to buy a griddle.",5,1,1,1,1,1
"Works fine. Sub-components are lower quality.: This is my second Blackstone. The first was purchased directly from Blackstone. This one was purchased at Lowe's. It's no secret that brands like Blackstone (and many others) make different ""versions"" of their products for various distribution channels. My first model went together very cleanly, with quality components, etc. That was not the case with this one. Holes were slightly out of place, the pre-drilled spots for the screws were not big enough to acommodate the screws. And other things al...",3,NA,NA,-1,NA,NA
"That they need to purchase a black stone griddle.: Excellent purchase. The black stone griddle is a great addition to my patio ensemble. I can cook breakfast outside. Food is restaurant style good. I also have a pellet oven,and a smoker. We cook most meals outside. I highly recommend the black stone griddle for home or camping use. Black stone also has many great recipes on their website. If you enjoy outside living this griddle is for you. Also Lowe’s delivered the griddle 3 days before it was due. Was a pleasant surprise. The staff at our Xeni...",5,1,NA,1,0,1
"OVER THE TOP!  SHUT THE FRONT DOOR!: Hard to explain how thrilled i am with this Blackstone Griddle.  I have used it so much that in only about 3 weeks im already on my second propane bottle. Ive cooked breakfast, street tacos, seafood and more.  The most unique thing ive cooked on it was chocolate chip cookies.  Yep, you heard me right!!!!   
I will say this is by far the most fun you will ever have cooking and easy to care for.",5,1,1,1,-1,1
"My 11 Year put it together, relax: This unit must have not been too hard to put together.   My 11 yo did it while I was at work.",4,NA,NA,NA,NA,NA
Read instructions on how to season grill.: Easy to use and cooks evenly.,5,1,0,1,NA,1
"Outdoor cooking is fun: Easy use, heats quickly, can take both meat and veggies at same time.  Love it!",5,1,1,1,NA,1
"This thing is awesome!: This is the most useful grill I have ever bought. We are a family of 8, and not only are the meals great off of the griddle, but everything is cooked at the same time.",5,1,1,1,1,1
Assemble: My grill was suppose to be assembled and it wasn’t. It came in a box instead. The only reason I didn’t buy it in the store was because I didn’t want to assemble it. It could have got it immediately instead I waited for nothing.  Thanks.,3,NA,NA,-1,NA,NA
"Works well, love the lid: Griddle is amazing! Quality of some components are a bit iffy. The lid hinge was slightly bent, but once bent back in place works fine. The box was in horrible shape, and a few minor blemishes, but nothing major. The basket that holds seasoning, etc falls fairly easy. Assembling was a pain, but not hard; just a lot of pieces that took a while.",4,1,0,-1,NA,0
"Hottest grill around.: This is an awesome grill.  If you want a HOT grill fast, this is it.  It is ideal for searing steaks or burgs or whatever.  Mixed veggies come out crisp and have. Better texture.   a perfect grill for teriyaki anything.  In mins. Cleaning is easy.  Scrape like a restaurant into the disposable drip pan and season.  Done.  .  Well built and simple.  No more bottom of the grill rotting out!!!!!",5,1,1,1,NA,1
Horrible: Started of with regulator issues……. I would definitely go another route unless this is something you use several times a week. If you are a casual grilled then this will not last. Seasons all you will. The summer rains are just to much unless you maintain often. Also don’t waste your time on the cover as that did not seem to help much. Would not purchase again.,1,-1,-1,-1,-1,-1
"Great grill, flimsy lid.: Love the flattop!  The big cooking surface is incredible.  We purchased this one because we specifically wanted one that had a cover.  The cover is flimsy. There is no support to keep it from twisting when lifting it up and down.   After it heated up, it warped and no longer sits flat on the grill.  This product is VERY heavy and the box is huge (it filled the back of my Tahoe).  Just a warning, you will need help unloading once you get it home.",4,1,NA,-1,-1,NA
"Amazing!: I love the ease and convenience of having a dedicated griddle on my deck.  I used to put a cast iron griddle on my standard propane grill and it was such a pain because the cooking surface was so small and cleanup was a pain.  Having a 36"" cooking surface on the Blackstone has been amazing and cleanup is a breeze.  My family LOVES having a big family breakfast on the Blackstone or having taco/fajita nights.  Smashburgers are also a huge hit with the entire family.  I love trying out new recipes ...",5,1,NA,NA,NA,NA
Mine has issues: The one I purchased and assembled cannot use one of the side shelves because one nut welded inside the body is the wrong size and the M6 x 12 screw will not thread in so I cannot attach the bracket. Also the lid is out of whack. I cannot remove or put the lid back on unless I take the bolts off. So if you end up with one like mine and don’t mind only having one shelf and either always having the lid on or always off go for it. Haven’t yet been successful with support so I’ll probably end up retu...,2,-1,0,-1,NA,NA
love it: love it,5,NA,NA,NA,NA,NA
: The option for free assembly was worth it. It was nice getting the grill all assembled.,5,NA,NA,NA,NA,NA
"Amazing!: This grill is amazing!  The griddle surface allows me to not only cook burgers or hotdogs, but I can easily sauté veggies and roast potatoes. I can even make bacon, eggs, and pancakes easily!",5,1,1,1,NA,1
"Issues: I like it but if all 4 burners are on one half or the other doesn’t get as hot
Also the tank bracket was installed on the same side as the paper towel bar which will not work together",3,0,-1,0,NA,NA
Delivered without grease cup: The grill was delivered earlier today when I wasn't home.  No grease cup.  Hold time to speak with a Lowes rep is one hour.  Cannot locate an email for Lowes Customer Service.  Got a deal on the grill but really not worth dealing with Lowes on the inevitable screw up.,1,NA,NA,NA,NA,NA
"Love it. doesn’t come with accessories: Love the grill but it didn’t come with any accessories or a cover- needed to purchase separately which added to cost. Make sure you keep it seasoned! It’s pretty loud with all the scraping you have to do, so be aware if you’re making breakfast and don’t want to disturb neighbors or family.",5,1,0,-1,NA,NA
"Good Flat top Overall: Frame is strong but some design flaws IMO.  First 10 of flat top has no flame, side shelfs are useless because of how hot they get, lid warps when under heat.  Compared to my previous grill (camp chef flat top) this is a pretty solid grill for the price.  I would probably reconsider and get a 2 burner or a side by side",3,0,-1,1,NA,0
"So much fun to use!: I love this thing so much! It cooks very well and is easy to use, clean, and put together. My chief complaint is the lid - it bends (like large sheets of metal tend to do) which is extremely unsafe if it’s up, because the movement causes it to fall sometimes (I’ve gotten hit on the head already, not great.)",4,1,1,-1,0,1
Great griddle: Very user friendly and tons of knowledge on YouTube to help you get started. 5 coats of oil the first night to season it and it’s cooked perfect every time. It will take awhile to learn the zones and how it heats (it’s not only left to right it heats differently front to back) but it’s very rewarding and gives food a unique flavor,5,1,1,1,NA,1
